x,y,HeightError,PredictedHeight,TrueHeight
243993.08,701026.18,0.09997185595133341,7.776801021575928,7.07
241859.43,708072.3,0.01717254437469028,7.135465398788452,7.015
244776.33,701943.63,0.04970506027457406,11.007207262039184,10.486
242734.26,698830.83,0.06412678624822701,25.677553365707396,27.437
248288.84,697177.57,0.18146855374815493,8.901184083938599,7.534
245103.55,695672.52,0.05121362850973758,11.122622632980347,11.723
245016.11,695580.05,0.031633616783232295,10.56390887451172,10.909
249714.42,699652.92,0.012712325646207267,16.463664278030393,16.257
246849.69,695543.1,0.11578617543175226,9.469677270889282,8.487
245604.17,695656.24,0.037721958602779534,27.068977290153505,26.085
245868.19,699793.23,0.1793676343593998,10.509344989776611,8.911
249997.72,698236.04,0.03957042524348723,27.951381914138793,29.103
248699.34,696506.96,0.08872817915104185,19.472992212295534,17.886
241919.07,698389.29,0.11423617536752163,19.764933982849122,22.314
248800.56,699704.09,0.22142558168036214,9.292605825424195,7.608
248764.82,694203.43,0.05889211948006123,22.844538585662843,21.574
248567.41,693964.9,0.0672197117158461,18.294280298233033,17.142
242617.55,706299.96,0.03101803203208224,15.772513854026794,15.298
248832.45,697740.58,0.036771222159082954,25.56505499267578,26.541
249277.6,697511.02,0.15162639091018823,26.346908571243286,22.878
247015.86,695550.93,0.0012294982266057568,11.100631446838378,11.087
242939.9,699370.85,0.040117774867108866,16.485866731643675,15.85
244011.86,699462.83,0.06041723440850284,15.91559246635437,16.939
244312.82,700608.37,0.0014143380298226288,13.985192195892335,14.005
244746.35,700090.06,0.10564499858849669,13.567369777679444,12.271
247173.33,696086.44,0.46567401804617375,9.276250860214233,6.329
241233.42,700867.08,0.06431834889844046,28.332440395355224,30.28
244205.36,700477.23,0.08073499436194527,13.630861503601075,14.828
244427.39,700878.9,0.19335807304340297,14.080431903839111,11.799
241154.83,707258.51,0.013589869004390609,28.045612844467165,28.432
243316.3,703476.67,0.015957841913900695,8.524757215499879,8.663
242949.85,699742.31,0.007143222786705428,9.72094638633728,9.652
243911.1,699125.23,0.008302322169459827,15.393131355285645,15.522
249423.94,699709.55,0.08023025704595817,19.089829102516173,17.672
247984.29,696952.84,0.30937797285562035,9.153861408233642,6.991
248356.61,695295.13,0.41870390275020314,8.503711193084717,5.994
243718.64,702933.57,0.016708564933850593,8.83723084640503,8.692
248736.48,693952.89,0.01678124653043663,17.026001973152162,16.745
248150.26,695933.27,0.16480166203949517,11.037146036148071,13.215
248730.38,696630.17,0.13750599539051056,21.921147621154784,25.416
245461.57,697633.77,0.2623028702909247,10.22743300628662,13.864
241720.53,701401.6,0.2325544563631982,8.371295989990234,10.908
248393.11,697338.1,0.162965079627714,15.967278141021728,19.076
242752.26,704639.73,0.0014313218858506992,8.987118103027344,9.0
242962.78,699722.73,0.024770146169120492,12.877261656761169,12.566
247475.6,696893.39,0.27173921365879294,11.408772485733031,8.971
249831.68,699985.2,0.045647578200088024,13.645330926895141,14.298
245030.96,698716.17,0.0563476382376826,32.00585715389252,33.917
248687.29,696452.59,0.030161038495886743,19.575229598999023,20.184
247119.11,695910.86,0.0747164195999987,12.975251647949218,14.023
244089.56,702813.35,0.06392422148370865,12.434082376480102,11.687
249200.59,696585.06,0.3120241620663498,13.899583972930909,10.594
244002.86,699880.83,0.2328882741389302,10.862302038192748,14.16
241436.42,701353.59,0.24480600077088815,7.971737628936768,6.404
247696.18,698170.93,0.04989382505957149,25.94497620487213,24.712
248430.48,696791.82,0.040326881310457044,35.40330102157593,36.891
248555.29,698979.21,0.06141234363152306,9.740662697792054,10.378
244418.14,700984.84,0.115914188457233,16.20865358734131,14.525
241987.64,698678.19,0.03489369241620927,8.991895467758178,9.317
245266.21,697625.09,0.09447799348900328,9.367625157356262,10.345
243684.56,699114.62,0.038748959141123626,19.93151502799988,19.188
245781.64,697823.38,0.14261103597695785,8.752400535583497,7.66
248366.14,695460.64,0.24092011050921902,8.254234718322753,10.874
248235.44,695126.68,0.022649097598397318,8.139264167785644,7.959
244760.34,695936.89,0.01107647562022073,9.609369886398316,9.717
242874.91,698957.13,0.18553192371626595,12.190143697738648,14.967
248280.08,695205.14,0.07497021350581848,8.75348244857788,8.143
244325.62,696160.62,0.10527691328780474,12.868739101409911,11.643
247316.96,695497.46,0.21576652027027882,9.157494342803954,11.677
241587.82,701640.74,0.04699933570028287,18.230902708053588,19.13
249987.74,699049.1,0.12183219118452612,21.017190168380736,23.933
248231.89,695350.25,0.28261995111717125,9.001426816940308,7.018
247318.78,695491.66,0.12105500967814298,9.284295932769776,10.563
244812.6,702044.79,0.006484627961352003,20.194107575416567,20.064
248244.3,695235.4,0.1044084030891345,9.34460272216797,10.434
244132.49,698584.48,0.04929857490324327,19.565221227645875,18.646
243695.76,704265.63,0.0760050442282123,8.343343112945558,7.754
249756.07,699898.09,0.1512971197630393,12.757523384094238,11.081
245323.39,698380.27,0.016779471014934863,13.37868173789978,13.607
245451.99,699954.6,0.1922899247484849,7.168047027587891,6.012
246824.35,695428.7,0.19579121896924984,9.430152166366577,11.726
244359.81,698576.09,0.0035777591994047525,21.122301097869872,21.047
241644.72,703039.85,0.05348654518656676,21.109763392448425,20.038
247920.76,695780.71,0.045607238509193265,17.564644382476807,18.404
243658.26,699040.45,0.02148627077708388,21.935342267990112,22.417
247163.55,695369.9,0.07843379273105097,13.359945306777954,14.497
247169.18,694494.69,0.1618906487167899,13.404732414245606,11.537
248604.31,696811.52,0.2012144410915925,12.224759366989137,10.177
248396.55,695345.61,0.6410585930702787,7.883645481109619,4.804
241533.4,698246.15,0.0829678791745491,15.825409618377686,14.613
244390.92,699500.37,0.07310193397183345,17.1900198802948,16.019
248962.46,697019.31,0.16279133045794816,16.777916107177735,14.429
245824.6,697997.08,0.02255464699429361,10.218213720321655,10.454
242649.42,700303.09,0.02395854626879584,18.474260091781616,18.042
247104.65,699845.52,0.18142886787858917,9.95055068206787,12.156
249571.81,698763.64,0.03508235454625711,27.72401378917694,28.732
242067.68,698419.96,0.043047907390899726,16.19832807159424,16.927
249581.71,694357.21,0.04166838706595721,16.497678716659546,17.215
243408.69,703743.52,0.10582126896823373,6.537615342140198,5.912
